symbol,date,calendarYear,period,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare
NEE,2019-12-31,2019,FY,9.96058091286307,1.954875518672199,4.229771784232365,-1.515560165975103,0.311203319502074,19.193464730290458,18.985477178423235,19.193464730290458,23.25311203319502,116721120000.0,158704120000.0,30.968723799416292,6.07795875859196,14.312828939301044,-39.94562628336756,3.154198621807863,3.154198621807863,8.264117892105812,16.02424474959612,19.46095892090742,-54.31352498288843,0.032290642858807,-0.025034029831105004,1.150736386974733,0.361820360095504,4.238994345718901,0.5347578141918711,2.380168963983993,2.40702479338843,0.020630370921732002,0.6388962589546291,0.0,0.0,0.035720658334112004,1.358307786633966,0.576806915225994,2.473648950424296,0.005207248489897001,29.055443073445296,0.05940383119048501,0.033210852344321,-37.84323132780083,-6445000000,37156000000,-68923000000,79769000000,2888000000,3008500000.0,1275500000,53.351124765673816,165.6022741471948,60.56728726727477,6.841467759173494,2.204076012117874,6.026355421686747,0.10185110120254001,5.7453319502074685
NEE,2020-12-31,2020,FY,9.186830015313936,1.490045941807044,4.075038284839204,0.11434405308831001,0.5640632976008161,18.638591117917304,20.40939254721797,18.638591117917304,25.544155181214904,151136850000.0,198122850000.0,51.77692702980473,8.397891315219203,18.932337467117627,674.7180803571429,4.13926135896804,4.13926135896804,11.008659776629438,24.706677890011225,24.818094701240135,884.4770089285714,0.019313622058419,0.001482100493691,1.317092542382165,0.376640769399454,5.8593340815563035,0.47448258130865106,1.899487179487179,3.369776276910088,0.018149114527661003,0.939705378554299,0.0,0.0,0.033316625419003,0.9719403732932481,0.43112741012390904,1.798146002317497,0.0059454353503360004,24.997560556296367,0.042982118805785,0.023649031839909,-40.144716692189895,-8176000000,40675000000,-75373000000,87881000000,2890500000,4123000000.0,1440000000,60.316163805078624,231.06652949245543,77.70644718792867,6.051445864156019,1.579631635969664,4.697164948453608,0.079944129488127,3.9606942317508933
NEE,2021-12-31,2021,FY,8.697579617834394,1.4405095541401272,3.848662420382165,-0.14114649681528602,0.32560509554140105,18.95643312101911,20.299617834394905,18.95643312101911,28.584458598726115,183219000000.0,237407000000.0,64.8103997170145,10.734020739352042,24.2577783662121,-661.4404332129964,4.924977151766035,4.924977151766035,13.90866483098014,29.305888161955313,31.432146167085925,-857.0649819494585,0.015429622473651,-0.001511851936753,1.473764851352077,0.38908680594981204,6.689050734477225,0.532660434707805,3.062204724409449,2.6717368234877963,0.016504838471992002,1.069685178634595,0.0,0.0,0.034376064494152,1.036674169204289,0.45872634600738105,1.858974358974359,0.006971703087468001,24.78720976679391,0.037626629675017,0.020776376517623003,-46.36305732484077,-8149000000,40580000000,-86200000000,96043000000,3541000000,5775000000.0,1556500000,87.84463061690784,298.4994103773585,67.18926886792454,4.155063291139241,1.222782984859408,5.432415118513773,0.07599053814311,3.9898089171974522
NEE,2022-12-31,2022,FY,10.623542532697963,1.645543952144378,4.188380817195579,-0.7502788198316941,0.81161918280442,19.88695123187671,22.215857244246173,19.88695123187671,33.2307614316131,164909360000.0,228274360000.0,50.80386937769562,7.869314754724184,19.959980634229,-111.42524324324324,4.203761502969741,4.203761502969741,10.893031112807789,25.49412106321197,27.62943113047688,-154.23943243243244,0.019683540097420002,-0.008974627031479,1.65607076397563,0.40875829741718306,7.076725485816395,0.505338078291815,6.976068376068376,2.545286506469501,0.020326317438864,1.032655576093653,0.0,0.0,0.030540787114229,1.17913338174776,0.464878793662912,2.033820459290188,0.006776102309601,27.13501754817215,0.033177429183938005,0.021066841466501,-52.271747946872146,-13205000000,44582000000,-96009000000,102708000000,4600500000,7623500000.0,1747500000,88.70705287268562,280.47332901913654,65.25931404271054,4.114667190261143,1.301371511068335,5.593071354705274,0.082744908103698,4.938659637027274
NEE,2023-12-31,2023,FY,13.87591925373871,3.607916687231627,5.577710873105967,0.865209022259513,1.327673856176891,23.428261191451558,25.164108385568333,23.428261191451558,37.7745422239771,123065314000.0,193586314000.0,16.835200273597813,4.377367646012662,10.889772055570305,70.20268910439248,2.59259530631162,2.59259530631162,6.885762040264638,12.165293407905486,17.13001628174498,110.4314398174558,0.05939935276970001,0.014244468591694,1.542323249346928,0.41248190028677806,4.431659649343304,0.5493330472409971,3.079723225030084,1.798949379178605,0.030731648724351003,0.5173734610123111,0.0,0.0,0.038216452850599006,0.844880983983718,0.339617272533257,1.55226792391481,0.004944155936544001,43.61034655185432,0.073119054787769,0.042822162079833005,-55.00616948817926,-12602000000,50985000000,-104360000000,119957000000,5566500000,8408000000.0,2020000000,78.41644732161912,306.1708423752219,75.82264746498323,4.654635761589404,1.19214487300094,4.813865147198481,0.153998483188674,4.712501850846453
FSLR,2019-12-31,2019,FY,29.086667932769917,-1.088681036938562,1.654173392840186,-4.695812363498243,20.55120121545912,48.39774950147184,47.64753584654829,48.39774950147184,4.736140917291805,5893147600.0,5012103600.0,-51.40164850979947,1.9239054858172242,33.829585364033505,-11.917000865492724,1.156252110406459,1.156252110406459,1.636275597699989,18.726615006389036,28.771956532970535,-10.13537195965348,-0.019454628966021,-0.083913730584314,0.09254827619155401,0.062761644341589,-3.2918257698601883,2.730854311307472,2.297014704795685,-1.515674349403565,0.0,0.0,0.0,0.031540094616039,0.010512010276103,3.838766712016578,0.21831258812510201,3.254493247353692,0.012219252480398,34.43135958014134,0.010655524839024001,-0.015416683027005001,4.631630424461115,2281626000,5017762000,1180912000,5018757000,622480000,225684000.0,470957000,78.46807026959793,31.66371243145624,72.17458098058597,4.651573547634667,11.527391198683057,5.057182113716466,-0.022494455799136,6.349985756338429
FSLR,2020-12-31,2020,FY,25.610738001454656,3.7627872708209362,0.350628618927522,-3.584828133412678,16.502479526197966,52.14965947840214,51.482785003825555,52.14965947840214,2.864603700869959,10472363640.0,9524592640.0,26.289022705877922,3.8624423862514803,282.12186530172414,-27.594070431998734,1.896848435625315,1.896848435625315,3.512883202794788,29.02812615050775,256.58924137931035,-25.096748850506568,0.038038690566325,-0.036239669767617,0.050576823316659004,0.039278901426951,-2.888524180472759,3.5574015987764893,3.960351139956731,0.0931832159757,0.0,0.0,0.0,0.034572674980415004,0.009931169679379001,11.224003232758621,0.153664324398487,1.788708811849307,0.010794325445943,66.44645727513998,0.022417749224097002,0.056597934936563,6.255164498852333,2167137000,5450328000,1426532000,4883418000,475484000,200715000.0,532356500,39.37047915932095,32.955993596167545,102.0260934996964,9.270905708892961,11.075375377013238,3.5775161772815123,0.07215363069397,3.9354567523402
FSLR,2021-12-31,2021,FY,27.510770446910026,4.410688574574405,2.235575882480261,-2.8488937824077993,17.184184523305383,56.08302984105474,55.51866595146006,56.08302984105474,2.380960447192343,9261883080.0,8051130080.0,19.76108685216122,3.16821370627189,38.98771707239044,-30.594331223656567,1.554124309029321,1.554124309029321,2.754051249633557,18.05348031213562,33.891075816954945,-26.59490929270774,0.050604504068086004,-0.032685793740337005,0.040254878261801005,0.032358945127065004,-2.714936317158489,4.390341983111334,14.19546807049668,0.506854166800016,0.0,0.0,0.0,0.033904282615618,0.008089163022310001,2.274344478634781,0.18481742176941202,2.078841862254713,0.00714995021169,74.60366965718075,0.0245849410515,0.063735020448681,9.843776761431542,2464365000,5899580000,1737048000,5391216000,373582500,188361500.0,616958000,56.772966675184215,32.178704244461734,110.8765317952807,6.429116203989804,11.342905457817494,3.291950010430752,0.078645689918586,5.08446966488806
FSLR,2022-12-31,2022,FY,24.582772569004515,-0.414505729650589,8.196722696173664,-0.283770213325074,24.194808120055185,54.7724094565044,54.34474570862779,54.7724094565044,1.9311597263282372,15960274290.0,14672547290.0,-361.37015554951773,6.093291534937134,18.274376912851267,-527.8566705252017,2.734771055104861,2.734771055104861,5.60166489457756,274.5097715622077,16.799940563496072,-485.2674722185474,-0.002767245674948,-0.0018944536572870002,0.033163155590548,0.023456144951999002,-24.092179607109447,3.652452487746231,-17.691124744376282,-19.77469093873115,0.0,0.0,0.0,0.043066155745061,0.005522571912932,1.034619960177198,0.34497707228481905,3.350109741810147,0.010940248209553001,22.601509790188963,0.18424964245812903,-0.0053823824043400005,6.942583833094011,2753373000,5790487000,1376248000,6342085000,404850000,267391500.0,643837500,49.46771088210332,48.87867866972666,88.96085878544524,7.378550442123885,7.467468637323562,4.102928017818519,-0.007567783374214001,8.480492909498738
FSLR,2023-12-31,2023,FY,31.074507233484713,7.7791750550119385,5.639402593754389,-7.345989980804345,19.687148274731964,62.61968256940868,61.7376375298469,62.61968256940868,5.96801348377733,18398642600.0,17076037600.0,22.14630713175738,5.544094350572922,30.54933517085644,-23.45225088111763,2.751211646738101,2.751211646738101,5.145551530433599,13.525692184248735,28.353265367117192,-21.766362147313945,0.045154255020965005,-0.042639830397053005,0.09336701224334601,0.060239367911571,-1.047617048544581,3.5484290568216093,66.1215580408793,0.724935813100266,0.0,0.0,0.0,0.045894928045002004,0.009087969164309,2.302618470428054,0.4178792756709,4.502603946830133,0.010311269624980001,104.69199173492676,0.109283169362673,0.08088621735861601,-0.125488084648157,3328651000,6593271000,957146000,7921602000,881306500,274293500.0,816744000,154.81881527221404,37.47416031236078,183.06985945449853,2.3575945814998622,9.740044792400738,1.99377440441374,0.124228912313462,12.985392574558734
